t,x,y,z
0.414,13.39612618,12.34803283,34.59153526
0.416,13.37336236,12.1451549,34.73451288
0.418,13.3470019,11.93928335,34.87068294
0.42,13.31705922,11.73067048,34.99994061
0.422,13.28355352,11.51957207,35.12219372
0.424,13.24650871,11.3062467,35.23736292
0.426,13.20595334,11.09095515,35.34538165
0.428,13.1619206,10.8739594,35.44619631
0.43,13.11444821,10.65552195,35.53976621
0.432,13.06357834,10.43590523,35.62606348
0.434,13.00935752,10.21537064,35.70507299
0.436,12.95183649,9.99417786,35.77679223
0.438,12.89107015,9.77258435,35.84123104
0.44,12.82711734,9.550844384,35.8984114
0.442,12.76004076,9.329208486,35.94836709
0.444,12.68990678,9.107922938,35.99114349
0.446,12.61678529,8.887228951,36.02679702
0.448,12.54074949,8.667362171,36.05539487
0.45,12.46187578,8.448552263,36.07701456
0.452,12.3802435,8.231022223,36.09174339
0.454,12.29593476,8.014987979,36.09967798
0.456,12.20903429,7.800658067,36.10092386
0.458,12.11962914,7.588233101,36.0955948
0.46,12.02780855,7.377905486,36.08381227
0.462,11.93366374,7.169859177,36.06570504
0.464,11.83728765,6.964269336,36.04140842
0.466,11.73877476,6.76130214,36.01106372
0.468,11.6382209,6.561114647,35.97481787
0.47,11.53572301,6.363854611,35.93282257
0.472,11.43137893,6.169660409,35.88523382
0.474,11.32528722,5.978660984,35.83221147
0.476,11.21754696,5.790975833,35.77391858
0.478,11.10825754,5.606715003,35.71052081
0.48,10.99751844,5.425979161,35.64218597
0.482,10.88542909,5.24885967,35.56908343
0.484,10.77208866,5.075438699,35.49138375
0.486,10.65759592,4.905789387,35.40925809
0.488,10.54204901,4.739975971,35.32287779
0.49,10.42554532,4.578054018,35.23241392
0.492,10.30818135,4.420070615,35.13803687
0.494,10.19005251,4.266064608,35.03991598
0.496,10.07125303,4.116066873,34.93821915
0.498,9.951875797,3.970100543,34.8331125
0.5,9.832012246,3.828181335,34.72476004
0.502,9.711752243,3.690317808,34.61332341
0.504,9.591183974,3.556511679,34.49896159
0.506,9.470393849,3.426758142,34.38183064
0.508,9.349466406,3.301046155,34.2620835
0.51,9.228484235,3.179358794,34.13986979
0.512,9.107527897,3.061673543,34.01533564
0.514,8.986675861,2.947962641,33.88862352
0.516,8.866004442,2.838193391,33.75987212
0.518,8.745587749,2.732328476,33.62921623
0.52,8.625497644,2.630326296,33.49678668
0.522,8.5058037,2.53214125,33.36271023
0.524,8.386573174,2.43772407,33.22710955
0.526,8.267870981,2.34702212,33.09010314
0.528,8.149759676,2.259979667,32.95180538
0.53,8.032299446,2.176538177,32.81232642
0.532,7.915548099,2.096636597,32.6717723
0.534,7.799561068,2.02021164,32.5302449
0.536,7.684391415,1.947198007,32.38784199
0.538,7.57008984,1.877528663,32.24465728
0.54,7.456704697,1.811135077,32.10078046
0.542,7.344282012,1.747947432,31.95629728
0.544,7.232865506,1.687894861,31.81128962
0.546,7.122496624,1.630905648,31.66583553
0.548,7.013214561,1.576907425,31.52000936
0.55,6.905056301,1.525827361,31.37388183
0.552,6.798056647,1.477592339,31.22752013
0.554,6.692248265,1.432129118,31.08098799
0.556,6.587661726,1.389364497,30.93434583
0.558,6.484325544,1.349225455,30.78765082
0.56,6.382266228,1.311639287,30.640957
0.562,6.281508327,1.276533736,30.49431539
0.564,6.182074477,1.243837108,30.34777409
0.566,6.083985453,1.21347838,30.20137842
0.568,5.98726022,1.185387302,30.05517096
0.57,5.891915986,1.159494486,29.90919174
0.572,5.79796825,1.135731491,29.76347827
0.574,5.705430862,1.114030903,29.61806571
0.576,5.614316075,1.094326402,29.47298694
0.578,5.524634594,1.076552818,29.32827265
0.58,5.436395634,1.060646195,29.18395148
0.582,5.349606977,1.046543834,29.04005011
0.584,5.264275017,1.034184339,28.89659331
0.586,5.180404823,1.02350765,28.75360409
0.588,5.098000188,1.01445508,28.61110377
0.59,5.017063678,1.006969339,28.46911207
0.592,4.937596691,1.000994557,28.32764718
0.594,4.859599504,0.996476298,28.18672589
0.596,4.783071327,0.99336158,28.0463636
0.598,4.708010347,0.991598879,27.90657447
0.6,4.634413785,0.991138136,27.76737143
0.602,4.562277939,0.991930762,27.62876631
0.604,4.491598232,0.993929634,27.49076986
0.606,4.422369261,0.997089096,27.35339186
0.608,4.354584838,1.001364946,27.21664113
0.61,4.288238039,1.006714436,27.08052565
0.612,4.223321243,1.013096255,26.94505257
0.614,4.159826177,1.020470519,26.8102283
0.616,4.097743958,1.028798755,26.67605851
0.618,4.037065126,1.038043888,26.54254826
0.62,3.977779693,1.048170218,26.40970198
0.622,3.919877173,1.059143404,26.27752354
0.624,3.863346622,1.070930448,26.14601628
0.626,3.80817667,1.083499665,26.01518308
0.628,3.754355561,1.096820667,25.88502637
0.63,3.701871181,1.110864338,25.75554816
0.632,3.650711091,1.125602811,25.62675012
0.634,3.60086256,1.141009445,25.49863355
0.636,3.552312594,1.157058796,25.37119945
0.638,3.505047962,1.173726598,25.24444856
0.64,3.459055229,1.190989732,25.11838132
0.642,3.414320777,1.208826202,24.992998
0.644,3.370830834,1.227215113,24.86829861
0.646,3.328571496,1.246136646,24.74428301
0.648,3.287528755,1.265572024,24.62095088
0.65,3.247688517,1.285503492,24.49830177
0.652,3.209036626,1.30591429,24.37633511
0.654,3.171558884,1.326788628,24.25505019
0.656,3.135241072,1.34811166,24.13444625
0.658,3.100068966,1.369869464,24.01452242
0.66,3.066028358,1.392049011,23.89527778
0.662,3.033105072,1.414638142,23.77671137
0.664,3.00128498,1.437625545,23.65882217
0.666,2.970554018,1.461000729,23.54160915
0.668,2.940898201,1.484754008,23.42507124
0.67,2.912303636,1.508876471,23.30920741
0.672,2.884756537,1.53335996,23.19401657
0.674,2.858243237,1.558197048,23.07949769
0.676,2.8327502,1.583381021,22.96564975
0.678,2.80826403,1.608905856,22.85247173
0.68,2.784771485,1.634766197,22.73996266
0.682,2.762259486,1.660957337,22.62812162
0.684,2.740715126,1.6874752,22.51694772
0.686,2.720125678,1.714316318,22.40644013
0.688,2.700478606,1.741477817,22.29659807
0.69,2.681761567,1.768957394,22.18742082
0.692,2.663962428,1.796753302,22.07890773
0.694,2.647069263,1.824864336,21.97105822
0.696,2.631070366,1.853289808,21.86387179
0.698,2.615954251,1.88202954,21.75734801
0.7,2.601709664,1.911083842,21.65148652
0.702,2.588325583,1.9404535,21.54628709
0.704,2.575791226,1.97013976,21.44174952
0.706,2.564096052,2.000144315,21.33787376
0.708,2.553229767,2.030469289,21.23465981
0.71,2.543182327,2.061117227,21.13210779
0.712,2.533943942,2.092091079,21.03021794
0.714,2.525505077,2.12339419,20.92899056
0.716,2.517856458,2.155030288,20.8284261
0.718,2.51098907,2.18700347,20.72852511
0.72,2.504894161,2.219318195,20.62928824
0.722,2.499563247,2.251979269,20.53071628
0.724,2.494988107,2.284991838,20.43281012
0.726,2.49116079,2.318361378,20.33557078
0.728,2.488073614,2.352093682,20.23899941
0.73,2.485719167,2.386194855,20.1430973
0.732,2.484090306,2.420671304,20.04786584
0.734,2.483180162,2.455529729,19.9533066
0.736,2.482982135,2.490777119,19.85942125
0.738,2.483489898,2.526420736,19.76621163
0.74,2.484697396,2.562468114,19.67367971
0.742,2.486598844,2.598927053,19.58182761
0.744,2.489188732,2.635805605,19.49065762
0.746,2.492461818,2.673112076,19.40017217
0.748,2.496413131,2.710855017,19.31037386
0.75,2.501037972,2.749043212,19.22126546
0.752,2.506331909,2.787685683,19.13284989
0.754,2.512290781,2.826791675,19.04513026
0.756,2.518910692,2.866370656,18.95810985
0.758,2.526188014,2.906432312,18.87179213
0.76,2.534119387,2.946986538,18.78618076
0.762,2.542701712,2.98804344,18.70127958
